name,link,rdf_link
Valerie Abadie,https://profiles.uchicago.edu/profiles/profile/13814756,https://profiles.uchicago.edu/profiles/profile/13814756/13814756.rdf
Elmer Abbo,https://profiles.uchicago.edu/profiles/profile/37070,https://profiles.uchicago.edu/profiles/profile/37070/37070.rdf
Chandrika Abburi,https://profiles.uchicago.edu/profiles/profile/915412,https://profiles.uchicago.edu/profiles/profile/915412/915412.rdf
Sara Abdelaziz,https://profiles.uchicago.edu/profiles/profile/37040654,https://profiles.uchicago.edu/profiles/profile/37040654/37040654.rdf
Hiroyuki Abe,https://profiles.uchicago.edu/profiles/profile/36760,https://profiles.uchicago.edu/profiles/profile/36760/36760.rdf
Mark Abe,https://profiles.uchicago.edu/profiles/profile/38131,https://profiles.uchicago.edu/profiles/profile/38131/38131.rdf
Herbert T. Abelson,https://profiles.uchicago.edu/profiles/profile/13712503,https://profiles.uchicago.edu/profiles/profile/13712503/13712503.rdf
Mark Abney,https://profiles.uchicago.edu/profiles/profile/37693,https://profiles.uchicago.edu/profiles/profile/37693/37693.rdf
Nabil Abou Baker,https://profiles.uchicago.edu/profiles/profile/12060095,https://profiles.uchicago.edu/profiles/profile/12060095/12060095.rdf
Hassan Aboumerhi,https://profiles.uchicago.edu/profiles/profile/22244515,https://profiles.uchicago.edu/profiles/profile/22244515/22244515.rdf
Varghese Abraham,https://profiles.uchicago.edu/profiles/profile/38475,https://profiles.uchicago.edu/profiles/profile/38475/38475.rdf
Cyril Abrahams,https://profiles.uchicago.edu/profiles/profile/13712528,https://profiles.uchicago.edu/profiles/profile/13712528/13712528.rdf
Jacques Abramowicz,https://profiles.uchicago.edu/profiles/profile/8615127,https://profiles.uchicago.edu/profiles/profile/8615127/8615127.rdf
Lisa Abrams,https://profiles.uchicago.edu/profiles/profile/38536,https://profiles.uchicago.edu/profiles/profile/38536/38536.rdf
Sarah Ackroyd,https://profiles.uchicago.edu/profiles/profile/36891722,https://profiles.uchicago.edu/profiles/profile/36891722/36891722.rdf
Huda Adam,https://profiles.uchicago.edu/profiles/profile/25958660,https://profiles.uchicago.edu/profiles/profile/25958660/25958660.rdf
Erin Adams,https://profiles.uchicago.edu/profiles/profile/38181,https://profiles.uchicago.edu/profiles/profile/38181/38181.rdf
Karima Addetia,https://profiles.uchicago.edu/profiles/profile/5478609,https://profiles.uchicago.edu/profiles/profile/5478609/5478609.rdf
Ayodeji Adegunsoye,https://profiles.uchicago.edu/profiles/profile/20049714,https://profiles.uchicago.edu/profiles/profile/20049714/20049714.rdf
Oluremi Adesida,https://profiles.uchicago.edu/profiles/profile/36124313,https://profiles.uchicago.edu/profiles/profile/36124313/36124313.rdf
Matthew Adess,https://profiles.uchicago.edu/profiles/profile/37808,https://profiles.uchicago.edu/profiles/profile/37808/37808.rdf
Glen Aduana,https://profiles.uchicago.edu/profiles/profile/37635,https://profiles.uchicago.edu/profiles/profile/37635/37635.rdf
Muhammad Raza Aftab,https://profiles.uchicago.edu/profiles/profile/28956907,https://profiles.uchicago.edu/profiles/profile/28956907/28956907.rdf
Zehra Aftab,https://profiles.uchicago.edu/profiles/profile/13049734,https://profiles.uchicago.edu/profiles/profile/13049734/13049734.rdf
Khalid Afzal,https://profiles.uchicago.edu/profiles/profile/37876,https://profiles.uchicago.edu/profiles/profile/37876/37876.rdf
Piyush Agarwal,https://profiles.uchicago.edu/profiles/profile/17338330,https://profiles.uchicago.edu/profiles/profile/17338330/17338330.rdf
Gaurav Agnihotri,https://profiles.uchicago.edu/profiles/profile/73496376,https://profiles.uchicago.edu/profiles/profile/73496376/73496376.rdf
Nishant Agrawal,https://profiles.uchicago.edu/profiles/profile/5649850,https://profiles.uchicago.edu/profiles/profile/5649850/5649850.rdf
Rishi K. Agrawal,https://profiles.uchicago.edu/profiles/profile/38944,https://profiles.uchicago.edu/profiles/profile/38944/38944.rdf
Ezinne Agwaramgbo,https://profiles.uchicago.edu/profiles/profile/70757147,https://profiles.uchicago.edu/profiles/profile/70757147/70757147.rdf
Danish Ahmed,https://profiles.uchicago.edu/profiles/profile/50930302,https://profiles.uchicago.edu/profiles/profile/50930302/50930302.rdf
Muhammad Ahmed,https://profiles.uchicago.edu/profiles/profile/24390399,https://profiles.uchicago.edu/profiles/profile/24390399/24390399.rdf
Mushtaq Ahmed,https://profiles.uchicago.edu/profiles/profile/28934546,https://profiles.uchicago.edu/profiles/profile/28934546/28934546.rdf
Anjali Ahn,https://profiles.uchicago.edu/profiles/profile/50031375,https://profiles.uchicago.edu/profiles/profile/50031375/50031375.rdf
Dae-Gwon Ahn,https://profiles.uchicago.edu/profiles/profile/39108,https://profiles.uchicago.edu/profiles/profile/39108/39108.rdf
James Ahn,https://profiles.uchicago.edu/profiles/profile/39080,https://profiles.uchicago.edu/profiles/profile/39080/39080.rdf
Natasha Ahn,https://profiles.uchicago.edu/profiles/profile/70855755,https://profiles.uchicago.edu/profiles/profile/70855755/70855755.rdf
Habibul Ahsan,https://profiles.uchicago.edu/profiles/profile/37251,https://profiles.uchicago.edu/profiles/profile/37251/37251.rdf
Fatima Ajmal,https://profiles.uchicago.edu/profiles/profile/37054273,https://profiles.uchicago.edu/profiles/profile/37054273/37054273.rdf
Oluwasoore Akande,https://profiles.uchicago.edu/profiles/profile/36973780,https://profiles.uchicago.edu/profiles/profile/36973780/36973780.rdf
Shahab Akhter,https://profiles.uchicago.edu/profiles/profile/36977,https://profiles.uchicago.edu/profiles/profile/36977/36977.rdf
Erhan Akpinar,https://profiles.uchicago.edu/profiles/profile/40609941,https://profiles.uchicago.edu/profiles/profile/40609941/40609941.rdf
Ayman Al-Hendy,https://profiles.uchicago.edu/profiles/profile/20332424,https://profiles.uchicago.edu/profiles/profile/20332424/20332424.rdf
Nadeem Alavi,https://profiles.uchicago.edu/profiles/profile/37997,https://profiles.uchicago.edu/profiles/profile/37997/37997.rdf
Chris Albanis,https://profiles.uchicago.edu/profiles/profile/38431,https://profiles.uchicago.edu/profiles/profile/38431/38431.rdf
Tamer Albataineh,https://profiles.uchicago.edu/profiles/profile/35578907,https://profiles.uchicago.edu/profiles/profile/35578907/35578907.rdf
Kurt Alberson,https://profiles.uchicago.edu/profiles/profile/35578928,https://profiles.uchicago.edu/profiles/profile/35578928/35578928.rdf
Sarah Albert,https://profiles.uchicago.edu/profiles/profile/36922,https://profiles.uchicago.edu/profiles/profile/36922/36922.rdf
Caroline Albertin,https://profiles.uchicago.edu/profiles/profile/50262895,https://profiles.uchicago.edu/profiles/profile/50262895/50262895.rdf
Fatima Aldarweesh,https://profiles.uchicago.edu/profiles/profile/14682859,https://profiles.uchicago.edu/profiles/profile/14682859/14682859.rdf
Daniel Aldrich,https://profiles.uchicago.edu/profiles/profile/17338324,https://profiles.uchicago.edu/profiles/profile/17338324/17338324.rdf
Maria-Luisa Alegre,https://profiles.uchicago.edu/profiles/profile/38786,https://profiles.uchicago.edu/profiles/profile/38786/38786.rdf
Zeray Alemseged,https://profiles.uchicago.edu/profiles/profile/8725711,https://profiles.uchicago.edu/profiles/profile/8725711/8725711.rdf
Francis Alenghat,https://profiles.uchicago.edu/profiles/profile/2101331,https://profiles.uchicago.edu/profiles/profile/2101331/2101331.rdf
Caleb Alexander,https://profiles.uchicago.edu/profiles/profile/2119103,https://profiles.uchicago.edu/profiles/profile/2119103/2119103.rdf
Jason Alexander,https://profiles.uchicago.edu/profiles/profile/8615161,https://profiles.uchicago.edu/profiles/profile/8615161/8615161.rdf
John Alexander,https://profiles.uchicago.edu/profiles/profile/36690,https://profiles.uchicago.edu/profiles/profile/36690/36690.rdf
Kenneth Alexander,https://profiles.uchicago.edu/profiles/profile/38758,https://profiles.uchicago.edu/profiles/profile/38758/38758.rdf
Ilham Algayed,https://profiles.uchicago.edu/profiles/profile/37606,https://profiles.uchicago.edu/profiles/profile/37606/37606.rdf
Saad S. Ali,https://profiles.uchicago.edu/profiles/profile/2927286,https://profiles.uchicago.edu/profiles/profile/2927286/2927286.rdf
Rahaf Alkhateb,https://profiles.uchicago.edu/profiles/profile/28868483,https://profiles.uchicago.edu/profiles/profile/28868483/28868483.rdf
Maria Alkureishi,https://profiles.uchicago.edu/profiles/profile/38166,https://profiles.uchicago.edu/profiles/profile/38166/38166.rdf
Michael Allen,https://profiles.uchicago.edu/profiles/profile/36810,https://profiles.uchicago.edu/profiles/profile/36810/36810.rdf
Stefano Allesina,https://profiles.uchicago.edu/profiles/profile/36947,https://profiles.uchicago.edu/profiles/profile/36947/36947.rdf
Joseph Alleva,https://profiles.uchicago.edu/profiles/profile/37062,https://profiles.uchicago.edu/profiles/profile/37062/37062.rdf
Bernhard Allgaier,https://profiles.uchicago.edu/profiles/profile/36741,https://profiles.uchicago.edu/profiles/profile/36741/36741.rdf
Marc Alonzo,https://profiles.uchicago.edu/profiles/profile/38174,https://profiles.uchicago.edu/profiles/profile/38174/38174.rdf
Lindsay Alpert,https://profiles.uchicago.edu/profiles/profile/11922044,https://profiles.uchicago.edu/profiles/profile/11922044/11922044.rdf
David Alspach,https://profiles.uchicago.edu/profiles/profile/36972,https://profiles.uchicago.edu/profiles/profile/36972/36972.rdf
Aiman Altaqi,https://profiles.uchicago.edu/profiles/profile/48585126,https://profiles.uchicago.edu/profiles/profile/48585126/48585126.rdf
Gary Altwerger,https://profiles.uchicago.edu/profiles/profile/75399603,https://profiles.uchicago.edu/profiles/profile/75399603/75399603.rdf
Catherine Reardon Alulis,https://profiles.uchicago.edu/profiles/profile/37549,https://profiles.uchicago.edu/profiles/profile/37549/37549.rdf
John Alverdy,https://profiles.uchicago.edu/profiles/profile/38545,https://profiles.uchicago.edu/profiles/profile/38545/38545.rdf
Farah Alvi,https://profiles.uchicago.edu/profiles/profile/32585666,https://profiles.uchicago.edu/profiles/profile/32585666/32585666.rdf
Habeeb Amatul,https://profiles.uchicago.edu/profiles/profile/58227954,https://profiles.uchicago.edu/profiles/profile/58227954/58227954.rdf
Victoria G. Amesbury,https://profiles.uchicago.edu/profiles/profile/37401,https://profiles.uchicago.edu/profiles/profile/37401/37401.rdf
Andrea Amico,https://profiles.uchicago.edu/profiles/profile/5478616,https://profiles.uchicago.edu/profiles/profile/5478616/5478616.rdf
Dhara Amin,https://profiles.uchicago.edu/profiles/profile/41464198,https://profiles.uchicago.edu/profiles/profile/41464198/41464198.rdf
Manik Amin,https://profiles.uchicago.edu/profiles/profile/39539965,https://profiles.uchicago.edu/profiles/profile/39539965/39539965.rdf
Pathik Amin,https://profiles.uchicago.edu/profiles/profile/18007271,https://profiles.uchicago.edu/profiles/profile/18007271/18007271.rdf
Yali Amit,https://profiles.uchicago.edu/profiles/profile/12760232,https://profiles.uchicago.edu/profiles/profile/12760232/12760232.rdf
Seeba Anam,https://profiles.uchicago.edu/profiles/profile/2101368,https://profiles.uchicago.edu/profiles/profile/2101368/2101368.rdf
Reena Anand,https://profiles.uchicago.edu/profiles/profile/17338337,https://profiles.uchicago.edu/profiles/profile/17338337/17338337.rdf
Carlos Anaya,https://profiles.uchicago.edu/profiles/profile/14682857,https://profiles.uchicago.edu/profiles/profile/14682857/14682857.rdf
Anupama Anchala,https://profiles.uchicago.edu/profiles/profile/38510,https://profiles.uchicago.edu/profiles/profile/38510/38510.rdf
Allen Anderson,https://profiles.uchicago.edu/profiles/profile/37727,https://profiles.uchicago.edu/profiles/profile/37727/37727.rdf
Irsk Anderson,https://profiles.uchicago.edu/profiles/profile/38116,https://profiles.uchicago.edu/profiles/profile/38116/38116.rdf
Kenneth Anderson,https://profiles.uchicago.edu/profiles/profile/37516,https://profiles.uchicago.edu/profiles/profile/37516/37516.rdf
Mark Anderson,https://profiles.uchicago.edu/profiles/profile/2119090,https://profiles.uchicago.edu/profiles/profile/2119090/2119090.rdf
Ruric  Anderson,https://profiles.uchicago.edu/profiles/profile/2119078,https://profiles.uchicago.edu/profiles/profile/2119078/2119078.rdf
